Ligne1;Ligne2;Ligne3;Ligne4;Shape;Show_on_side;Source_dataset;Animation_type;Image_URL;Scale
Florian;;;;6;0;0;1;images/Florian_Sarasin_-_CH-BAR_-_30313973.tif.jpg;1
Matthias;;;;6;0;0;1;images/Matthias_Kammerer_-_CH-BAR_-_30313888.tif.jpg;1
Michael;;;;6;0;0;1;images/Michael_Herler_-_CH-BAR_-_30313877.tif.jpg;1
Peter;;;;6;0;0;1;images/Peter_Durand_-_CH-BAR_-_30313858.tif.jpg;1
Stephan;;;;6;0;0;1;images/Alois_Theodorik_Stephan_Maschli_-_CH-BAR_-_30313927.tif.jpg;1
Euphrosin;;;;6;0;0;1;images/Euphrosine_Girard_-_CH-BAR_-_30313867.tif.jpg;1
Friedrich;;;;6;0;0;1;images/Friedrich_Ackermann_-_CH-BAR_-_30313811.tif.jpg;1
Gotlieb;;;;6;0;0;1;images/Gottlieb_Spiess_-_CH-BAR_-_30313992.tif.jpg;1
Magdalena;;;;6;0;0;1;images/Magdalena_Ostertag_-_CH-BAR_-_30313962.tif.jpg;1
Pancratius;;;;6;0;0;1;images/Pancratius_Meyer_-_CH-BAR_-_30313940.tif.jpg;1
Verena;;;;6;0;0;1;images/Verena_Gotz_-_CH-BAR_-_30313869.tif.jpg;1
Walpurga;;;;6;0;0;1;images/Walpurga_Debon_-_CH-BAR_-_30313852.tif.jpg;1
Rudolf Steiner;199459 pages;;;6;0;0;1;photos/rudolfsteiner.jpg;1
199459 pages;21056.-;;;0;0;0;0;;1
Jean-Jacques Rousseau;;;;6;0;0;1;photos/jeanjacquesrousseau.jpg;1
Jacques Chessex;;;;6;0;0;1;photos/jacqueschessex.jpg;1
Paulo Coelho;;;;6;0;0;1;photos/paulocoelho.jpg;1
Blaise Cendrars;;;;6;0;0;1;photos/blaisecendrars.jpg;1
DŸrrenmatt;;;;6;0;0;1;photos/friedrichdurrenmatt.jpg;1
 Tariq Ramadan;;;;6;0;0;1;photos/tariqramadan.png;1
Nicolas Bouvier;;;;6;0;0;1;photos/nicolasbouvier.jpg;1
Max Frisch;;;;6;0;0;1;photos/maxfrisch.png;1
Georges Simenon;;;;6;0;0;1;photos/georgessimenon.jpg;1
Hans KŸng;;;;6;0;0;1;photos/hanskueng.JPG;1
Carl Gustav Jung;;;;6;0;0;1;photos/carlgustavjung.jpg;1
 Jean Ziegler;;;;6;0;0;1;photos/jeanziegler.jpg;1
Hermann Hesse;;;;6;0;0;1;photos/hermannhesse.jpg;1
AnneMarie Schwarzenbach;17000 pages;;;6;0;0;1;photos/annemarieschwarzenbach.jpg;1
Anne Cuneo;19'000 pages;;;6;0;0;1;photos/annecuneo.jpg;1
Federica De Cesco;46000 pages;;;6;0;0;1;photos/federicadecesco.jpg;1
David Dubois;19'350.-;;;6;0;0;1;photos/daviddubois.jpg;1
19350.-;19.35;;;0;0;0;0;;1
1 kilo 594 grammes;;;;0;0;0;0;;1
L'adresse du politique;Michel Vanni;400 kilos;2 m.;0;0;0;0;;1
347 kilos;2.24 m.;;;0;0;0;0;;1
Tao und Sexuelle Energie;;;;0;0;0;0;;1
Savonette Salace;24 grammes;;;0;0;0;0;;1
Homocord-4-3035-tc-467.ogg;Johann Strauss II: An der schönen blauen Donau;Salon-Orchester;1927;;;;;;
FIN;;;;;;;;;

